473	29	38
462	40	37
451	40	48
440	51	53
429	51	59
418	62	59
407	62	70
396	74	75
385	79	76
374	84	81
363	90	87
352	95	92
341	101	97
330	106	103
319	111	114
308	113	116
297	123	123
286	128	129
275	134	131
264	135	136
253	145	142
242	146	148
231	153	157
220	156	161
209	163	168
198	170	170
187	174	176
176	181	181
165	187	189
154	186	191
143	186	191
132	186	191
121	186	191
110	186	191
99	186	191
88	186	191
77	186	191
66	186	191
55	186	191
44	186	191
33	186	191
22	186	191
11	186	191
0	186	191
-10	186	191
-21	186	191
-32	186	191
-43	186	191
-54	186	191
-65	186	191
-76	186	191
-87	186	191
-98	186	191
-109	186	191
-120	186	191
-131	186	191
-142	186	191
-153	186	191
-164	186	191
-175	186	191
-186	186	191
-197	186	191
-208	186	191
-219	186	191
-230	186	191
-241	186	191
-252	186	191
-263	186	191
-274	186	191
-285	183	185
-296	180	185
-307	177	181
-318	174	178
-329	170	175
-340	167	172
-351	164	169
-362	161	166
-373	157	159
-384	154	159
-395	151	156
-406	148	153
